date,N2,CH4,CO2
1552678227000,1897.14,2040470.0,763701.0
1552678351000,1893.74,2034670.0,763673.0
1552678473000,1895.46,2038540.0,762710.0
1552678597000,1898.82,2039840.0,762785.0
1552678719000,1904.0,2032780.0,762807.0
1552678839000,1918.84,2044140.0,763780.0
1552678964000,1909.48,2040550.0,763183.0
1552679086000,1911.1,2036720.0,763534.0
1552679208000,1902.86,2033180.0,763435.0
1552679327000,1893.96,2036180.0,763401.0
1552679447000,1896.9,2040220.0,763484.0
1552679568000,1890.52,2037480.0,762969.0
1552679688000,1903.64,2039010.0,762955.0
1552679809000,1887.92,2033190.0,763104.0
1552679931000,1897.12,2036620.0,763508.0
1552680051000,1889.34,2027930.0,763202.0
1552680173000,1917.68,2041730.0,763069.0
1552680293000,1902.4,2042520.0,762950.0
1552680413000,1899.62,2034900.0,763439.0
1552680535000,1886.46,2035830.0,762987.0
1552680654000,1902.0,2035050.0,763188.0
1552680775000,1896.86,2032420.0,763476.0
1552680897000,1904.74,2030800.0,763798.0
1552681022000,1898.22,2035870.0,763635.0
1552681143000,1901.58,2038100.0,763601.0
1552681264000,1896.06,2024370.0,762850.0
1552681386000,1901.2,2030770.0,763127.0
1552681506000,1897.36,2030430.0,763382.0
1552681628000,1902.12,2038830.0,763804.0
1552681751000,1872.72,2005640.0,763539.0
1552681872000,1898.24,2043760.0,763527.0
1552681994000,1901.0,2037110.0,763460.0
1552682115000,1897.18,2038970.0,763435.0
1552682237000,1906.32,2043410.0,763647.0
1552682361000,1902.6,2040030.0,763187.0
1552682485000,1909.86,2039760.0,763452.0
1552682607000,1899.08,2039340.0,763899.0
1552682728000,1898.08,2045150.0,762888.0
1552682850000,1907.24,2046100.0,762773.0
1552682974000,1908.66,1744110.0,764096.0
1552683096000,1888.34,2039480.0,763218.0
1552683218000,1905.78,2053820.0,763289.0
1552683339000,1914.2,2049070.0,763096.0
1552683459000,1919.22,2046110.0,763882.0
1552683579000,1916.86,2043600.0,762758.0
1552683701000,1911.44,2043480.0,763104.0
1552683823000,1903.7,2045370.0,763233.0
1552683945000,1892.34,2038650.0,763144.0
1552684066000,1896.36,2028300.0,763954.0
1552684188000,1900.48,2038900.0,763492.0
1552684309000,1903.28,2036380.0,763195.0
1552684431000,1923.82,2038570.0,764086.0
1552684552000,1889.26,2038770.0,763591.0
1552684676000,1889.76,2038660.0,763017.0
1552684798000,1907.6,2034680.0,763466.0
1552684920000,1893.36,2036660.0,763494.0
1552685041000,1896.96,2032610.0,763157.0
1552685164000,1902.9,2034300.0,763855.0
1552685288000,1899.18,2033990.0,763803.0
1552685409000,1891.78,2034040.0,763644.0
1552685533000,1895.1,2043630.0,763060.0
1552685654000,1892.68,2036800.0,763076.0
1552685776000,1899.12,2037320.0,763031.0
1552685895000,1902.18,2038340.0,762834.0
1552686016000,1898.08,2035220.0,762828.0
1552686138000,1906.32,2031820.0,763853.0
1552686259000,1888.68,2038580.0,763708.0
1552686380000,1899.7,2034240.0,763187.0
1552686503000,1912.78,1739020.0,763005.0
1552686624000,1901.24,2042300.0,763037.0
1552686746000,1908.44,2044250.0,763238.0
1552686867000,1916.4,2041640.0,763705.0
1552686991000,1904.02,2029770.0,763645.0
1552687113000,1888.46,2008310.0,763105.0
1552687235000,1897.12,2046480.0,763437.0
1552687359000,1891.44,2033420.0,763178.0
1552687480000,1906.08,2035320.0,762896.0
1552687602000,1887.34,2027410.0,763211.0
1552687724000,1891.84,2036780.0,763142.0
1552687845000,1912.76,2042640.0,763537.0
1552687966000,1885.58,2026380.0,763197.0
1552688087000,1904.94,2041620.0,763655.0
1552688209000,1884.42,2033570.0,762766.0
1552688330000,1900.2,2038490.0,763373.0
1552688454000,1901.08,2038210.0,762550.0
1552688575000,1898.42,2033430.0,763725.0
1552688696000,1930.26,2032230.0,763543.0
1552688818000,1897.96,2033990.0,763627.0
1552688939000,1892.34,2033060.0,763121.0
1552689061000,1894.26,2034790.0,763094.0
1552689183000,1905.82,2041800.0,763831.0
1552689304000,1917.5,2042180.0,763149.0
1552689426000,1894.08,2040190.0,763225.0
1552689548000,1892.98,2040290.0,762640.0
1552689672000,1898.1,2033600.0,762986.0
1552689794000,1908.6,2033400.0,763059.0
1552689918000,1899.54,2037900.0,763386.0
1552690042000,1899.66,2040790.0,762546.0
1552690164000,1901.0,2028510.0,763262.0
1552690285000,1897.6,2036580.0,761457.0
1552690407000,1896.46,2029020.0,763246.0
1552690528000,1894.34,2032570.0,763093.0
1552690649000,1869.1,2004630.0,763672.0
1552690771000,1913.6,2049220.0,763759.0
1552690893000,1925.72,2045270.0,762798.0
1552691014000,1907.2,2042020.0,763381.0
1552691136000,1904.92,2039910.0,763698.0
1552691257000,1895.5,2039190.0,762697.0
1552691379000,1908.7,2038210.0,763747.0
